stories_id,url,reported_publication_date,actual_publication_date,correct_guess
104698468,http://cuamckuykot.ru/tags/flot,4/13/2012 9:52:34,inapplicable,0
104700971,http://wyradhe.livejournal.com/232363.html?thread=6065579#t6065579,2/21/2012 19:33:45,2/21/2012 23:26:00,0
104701048,http://cuamckuykot.ru/peaceful-meeting-as-white-stripe-fail-2788.html,4/13/2012 9:52:34,12/11/2011,0
104702305,http://wonderbull.livejournal.com/147976.html?thread=2353672#t2353672,1/13/2012 17:00:00,1/13/2012 12:50:00,0
104722637,http://tematemych.livejournal.com/12926.html,12/24/2011 10:00:57,12/23/2011 11:24:00,0
104729746,http://readablenews.blogspot.com/2011/12/blog-post.html,12/26/2011 13:47:42,12/7/2011,0
104955030,http://georgia.kavkaz-uzel.ru/articles/203361/,4/14/2012 8:15:00,3/20/2012 13:35:00,0
104957581,http://wyradhe.livejournal.com/220774.html?replyto=5483878,12/13/2011 4:35:53,12/13/2011 5:06:00,0
105103648,http://oleg-shein.livejournal.com/657036.html?thread=10184332&style=mine#t10184332,4/20/2012 19:10:00,4/21/2012 2:46:00,0
105144510,http://latimesblogs.latimes.com/california-politics/howard-berman/,12/10/2012 17:00:00,inapplicable,0
105146349,http://blogs.sacbee.com/mt/mt-search.cgi?blog_id=41&tag=Mitt%20Romney&limit=20&IncludeBlogs=41,2/28/2013 17:00:00,inapplicable,0
105147221,http://latimesblogs.latimes.com/california-politics/taxes/,2/4/2013 17:00:00,inapplicable,0
105161594,http://www.mercurynews.com/opinion/ci_21732349/pete-constant-prop-32-will-help-reduce-influence,3/1/2013 3:10:50,10/9/2012 17:15:45,0
105161736,http://www.latimes.com/topic/economy-business-finance/mercury-general-corporation-ORCRP009790.topic,11/5/2012 17:00:00,inapplicable,0
105162089,http://opinionator.blogs.nytimes.com/tag/monsanto/,2/18/2013 17:00:00,inapplicable,0
105162295,http://www.examiner.com/article/the-country-looks-to-california-voters-to-beat-goliath-pass-prop-37-today,11/6/2012 14:25:20,11/6/2012 14:25:20,1
105198137,http://grani.ru/blogs/free/entries/192820.html#cut1,4/11/2011 21:16:00,11/2/2011,0
105221283,http://dagestan.kavkaz-uzel.ru/articles/175352/,7/19/2011 6:30:00,10/10/2010 15:36:00,0
105390671,http://www.russ.ru/Mirovaya-povestka/Pereformatirovanie-protesta,11/3/2012 7:51:00,not found,0
105391333,http://www.kp.ru/daily/25859/2826936/,3/31/2012 11:15:06,3/30/2012,0
105391387,http://volgograd.kavkaz-uzel.ru/articles/202128/,3/19/2012 21:40:00,3/1/2012 6:30:00,0
105391841,http://krispotupchik.livejournal.com/302445.html?thread=81486957#t81486957,12/11/2011 17:00:00,12/11/2011 11:59:00,0
105391893,http://bostontea.livejournal.com/648396.html?thread=4888780#t4888780,12/9/2011 5:37:37,12/9/2011 9:37:00,0
105392098,http://adygeia.kavkaz-uzel.ru/articles/197463/,12/13/2011 12:07:00,12/12/2011 12:00:00,0
105392554,http://krispotupchik.livejournal.com/302445.html?thread=81479277#t81479277,12/11/2011 17:00:00,12/11/2011 11:59:00,0
111543727,http://www.easyvoterguide.org/propositions/,4/24/2013 4:08:39,inapplicable,0
111546527,http://www.californiareport.org/specialcoverage/election2012/statepropositions-guide.jsp,4/24/2013 4:14:51,inapplicable,0
111546860,http://latimesblogs.latimes.com/california-politics/2012/11/proposition-32.html?utm_source=twitterfeed&utm_medium=twitter,11/7/2012 17:00:00,11/7/2012 1:40:00,0
111551273,http://blogs.sacbee.com/capitolalertlatest/2012/11/am-alert-vote-on-california-proposition-30-may-be-nail-biter.html?utm_source=dlvr.it&utm_medium=twitter#mi_rss=Latest%20News,3/29/2013,11/1/2012,0
111551478,http://quicknewsx.info/prop-30-wins-prop-38-flames-out/,4/24/2013 4:52:38,not found,0
111551524,http://investmentwatchblog.com/proposition-37-appears-to-have-failed-in-california-but-gmo-labeling-awareness-achieves-victory/,11/7/2012 17:00:00,11/7/2012,0
111551560,http://www.nbclosangeles.com/news/local/California-Ballot-Proposition-Results-177674041.html,11/7/2012 17:00:00,11/7/2012 10:41:00,0
111556166,"http://www.triplepundit.com/2012/11/rip-food-transparency-proposition-37/?utm_source=twitterfeed&utm_medium=twitter&utm_content=corporate+social+responsibility,+sustainable+business,+CSR",11/7/2012 17:00:00,11/7/2012,0
111556262,http://networkedblogs.com/EmPMS,4/24/2013 5:28:42,inapplicable,0
111556373,http://yesonprop30.com/index.php/get-involved/103-proposition-30-online-phone-bank,4/24/2013 5:31:59,inapplicable,0
111561213,http://www.noozhawk.com/noozhawk/article/california_election_statewide_propositions_prop_30/?utm_source=dlvr.it&utm_medium=twitter,4/24/2013 5:48:06,11/7/2012 2:56:00,0
111561639,http://www.marinij.com/ci_21594453/victims-advocates-oppose-prop-35-human-trafficking-measure,4/23/2013,9/21/2012 10:26:26,0
111566765,http://www.r2iclubforums.com/forums/showthread.php/29702-CA-2012-propositions-on-Nov6-and-how-you-are-voting-them?s=a230adfcc15ba64daddcf6da130c951c&p=478072#post478072,3/19/2012,inapplicable,0
111637449,http://www.10news.com/news/politics/gov-brown-begins-push-for-prop-30,4/24/2013 11:33:26,8/15/2012 1:05:48,0
111710622,http://icg600.com/,9/13/2012,inapplicable,0
111710664,https://twitter.com/StopExemptions,4/28/2013,inapplicable,0
111755694,http://www.konacoffeefarmers.org/kcfa-business/legislative-objectives/kcfa-support-of-california-ballot-proposition-37-and-consumers-right-to-know/,8/23/2012 5:53:25,8/23/2012 7:53:25,0
111755723,https://delicious.com/post?url=http://www.fsrn.org/audio/california%E2%80%99s-proposition-37-would-require-gmo-labels-supermarkets/10791,4/23/2013,unavailable,0
